City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,neftegorsk,52.802,51.166,4.66,89,96,3.1,RU,1712545946
327,cururupu,-1.8283,-44.8683,22.72,100,100,0.14,BR,1712545947
328,san matias,-16.3667,-58.4,26.06,84,94,2.2,BO,1712545947
329,san nicolas,18.1725,120.5953,31.39,58,8,5.71,PH,1712545947
330,el calafate,-50.3408,-72.2768,4.17,88,62,3.47,AR,1712545948
331,trairi,-3.2778,-39.2689,24.26,93,98,1.63,BR,1712545672
332,sale,34.0389,-6.8166,15.91,100,75,0.0,MA,1712545949
333,nelidovo,56.2211,32.7774,7.71,91,95,3.85,RU,1712545949
334,kindu,-2.95,25.95,20.54,99,100,0.85,CD,1712545950
335,ghormach,35.7306,63.7826,16.68,49,90,1.09,AF,1712545950
336,hassi messaoud,31.6804,6.0729,23.87,14,99,6.29,DZ,1712545950
337,saint-philippe,-21.3585,55.7679,23.77,86,63,1.85,RE,1712545727
338,hudiksvall,61.729,17.1036,4.37,86,31,4.54,SE,1712545952
339,boac,13.4463,121.84,28.49,72,99,2.9,PH,1712545953
340,holma,9.9008,13.0567,27.85,49,32,3.08,NG,1712545953
341,mbeya,-8.9,33.45,15.96,96,100,1.44,TZ,1712545953
342,klyuchi,52.2667,79.1667,5.95,77,100,2.55,RU,1712545764
343,brookings,44.3114,-96.7984,5.66,97,100,4.12,US,1712545496
344,huron,41.1501,-82.5499,12.69,60,100,5.57,US,1712545955
345,cobija,-11.0267,-68.7692,23.57,93,99,0.98,BO,1712545655
346,taltal,-25.4,-70.4833,17.6,83,22,0.96,CL,1712545956
347,kill devil hills,36.0307,-75.676,8.88,77,0,0.0,US,1712545956
348,nikolayevsk-on-amure,53.1406,140.73,-0.44,93,98,3.13,RU,1712545536
349,dalby,-27.1833,151.2667,25.62,38,0,3.37,AU,1712545693
350,muisne,0.6,-80.0333,25.35,82,92,1.63,EC,1712545958
351,san patricio,28.017,-97.5169,23.8,92,100,4.45,US,1712545958
352,buenavista,8.9769,125.4089,31.62,54,92,3.43,PH,1712545958
353,sandnessjoen,66.0217,12.6316,6.29,92,100,10.22,NO,1712545959
354,trevelin,-43.0858,-71.4639,10.45,95,99,1.05,AR,1712545959
355,sinjar,36.3209,41.8754,13.29,93,79,3.66,IQ,1712545960
356,nyala,12.05,24.8833,24.09,15,68,5.86,SD,1712545961
357,saint lucia,-27.5,153.0,31.11,56,20,3.6,AU,1712545961
358,emerald,-23.5333,148.1667,30.19,40,37,4.04,AU,1712545875
359,payson,40.0444,-111.7321,5.77,48,40,2.57,US,1712545962
360,talara,-4.5772,-81.2719,24.42,78,75,5.14,PE,1712545962
361,cascais,38.6979,-9.4215,16.39,92,58,7.6,PT,1712545963
362,bikenibeu village,1.3673,173.1241,28.31,81,30,8.04,KI,1712545963
363,las palmas,28.4204,-14.0131,17.44,59,75,5.14,ES,1712545816
364,faya-largeau,17.9257,19.1043,25.5,15,37,8.07,TD,1712545964
365,rio grande,-32.035,-52.0986,20.53,92,65,2.51,BR,1712545609
366,chunskiy,56.0815,99.6342,-2.96,74,100,5.81,RU,1712545965
367,saldanha,-33.0117,17.9442,14.03,93,74,3.54,ZA,1712545564
368,los alamos,35.8881,-106.307,5.92,30,0,2.57,US,1712545870
369,goundam,16.4145,-3.6708,29.58,12,61,3.99,ML,1712545966
370,mount isa,-20.7333,139.5,28.87,30,5,4.63,AU,1712545967
371,yung shue wan,22.2333,114.1167,29.68,82,99,0.89,HK,1712545967
372,gillette,44.2911,-105.5022,0.57,96,100,5.66,US,1712545968
373,bhuj,23.2667,69.6667,27.77,47,0,5.36,IN,1712545949
374,hobyo,5.3505,48.5268,28.61,78,80,3.45,SO,1712545968
375,ormara,25.2088,64.6357,26.2,64,0,3.23,PK,1712545969
376,acapulco de juarez,16.8634,-99.8901,24.9,88,0,2.57,MX,1712545969
377,tutayev,57.8853,39.5406,7.19,87,100,5.26,RU,1712545970
378,itoman,26.1247,127.6694,25.43,95,75,5.14,JP,1712545921
379,kavaratti,10.5669,72.642,29.27,70,85,2.65,IN,1712545970
380,namtsy,62.7161,129.6658,-5.19,80,99,2.84,RU,1712545971
381,harstad,68.799,16.5293,1.66,96,100,3.58,NO,1712545972
382,hamah,35.1318,36.7578,12.27,82,98,1.16,SY,1712545972
383,hola,51.5377,23.1902,13.1,86,100,2.93,PL,1712545973
384,laguna,38.421,-121.4238,16.1,43,0,2.06,US,1712545973
385,constitucion,-35.3333,-72.4167,13.33,77,19,4.5,CL,1712545973
386,dellys,36.9172,3.9131,20.24,39,100,5.47,DZ,1712545797
387,prince rupert,54.3161,-130.3201,4.05,93,100,4.12,CA,1712545809
388,belyy yar,53.6039,91.3903,0.94,47,40,5.0,RU,1712545975
389,cidade velha,14.9167,-23.6167,22.26,73,20,10.29,CV,1712545975
390,fonte boa,-2.4959,-66.2662,23.37,98,61,1.3,BR,1712545975
391,tangalle,6.024,80.7911,28.09,76,100,1.83,LK,1712545976
392,luganville,-15.5333,167.1667,27.9,76,99,4.17,VU,1712545976
393,sant lluis,39.8526,4.2594,18.22,72,0,4.12,ES,1712545977
394,pampa del indio,-26.0647,-59.919,20.23,98,98,1.92,AR,1712545977
395,kilindoni,-7.9139,39.6668,27.07,82,100,5.26,TZ,1712545977
396,cabo san lucas,22.8909,-109.9124,21.95,61,0,4.63,MX,1712545941
397,codajas,-3.8367,-62.0569,23.49,98,68,0.65,BR,1712545978
398,solnechnyy,50.7214,136.6319,-3.87,90,100,3.18,RU,1712545979
399,roma,43.2128,-75.4557,6.04,67,0,0.0,US,1712545868
400,arenapolis,-14.4503,-56.8461,22.79,96,100,1.58,BR,1712545979
401,yorkton,51.2167,-102.4677,4.12,83,95,3.05,CA,1712545980
402,vilyuysk,63.7553,121.6247,-4.44,92,100,1.79,RU,1712545980
403,arendal,58.4615,8.7725,6.89,95,100,6.18,NO,1712545981
404,yacuiba,-22.038,-63.6797,20.0,98,100,1.07,BO,1712545981
405,bol,13.4586,14.7147,26.57,50,14,4.62,TD,1712545982
406,aconibe,1.2968,10.9369,20.19,99,100,0.25,GQ,1712545982
407,labytnangi,66.6572,66.4183,-11.46,94,41,4.37,RU,1712545982
408,gizo,-8.103,156.8419,28.7,72,100,4.33,SB,1712545983
409,mulchen,-37.7167,-72.2333,13.25,82,100,1.57,CL,1712545983
410,lensk,60.7253,114.9278,0.62,70,99,1.93,RU,1712545984
411,pekanbaru,0.5333,101.45,28.18,83,40,0.0,ID,1712545984
412,meadow lakes,61.6247,-149.6011,5.47,57,0,3.09,US,1712545985
413,hampton bays,40.869,-72.5176,6.6,84,75,5.36,US,1712545983
414,severo-yeniseyskiy,60.3725,93.0408,-5.79,83,68,0.89,RU,1712545986
415,el alto,-4.2714,-81.2147,22.81,79,82,5.6,PE,1712545721
416,touros,-5.1989,-35.4608,25.59,91,43,3.65,BR,1712545625
417,santaquin,39.9755,-111.7852,5.1,50,18,2.24,US,1712545987
418,hilo,19.7297,-155.09,23.49,98,100,2.57,US,1712545987
419,lionel town,17.8101,-77.2406,28.94,82,6,2.61,JM,1712545988
420,antalaha,-14.9003,50.2788,23.68,89,11,2.58,MG,1712545989
421,tamanrasset,22.785,5.5228,23.95,11,0,8.23,DZ,1712545989
422,wenxing,28.6667,112.8833,16.24,80,100,2.46,CN,1712545990
423,mogadishu,2.0371,45.3438,28.68,71,100,2.8,SO,1712545990
424,yeppoon,-23.1333,150.7333,25.88,78,29,4.3,AU,1712545698
425,namibe,-15.1961,12.1522,21.83,80,87,2.5,AO,1712545991
426,energetik,51.7445,58.7934,5.32,95,96,3.04,RU,1712545991
427,manta,-0.95,-80.7333,26.67,74,40,5.81,EC,1712545992
428,meadow lake,34.8014,-106.5436,12.74,22,6,1.9,US,1712545992
429,markovo,57.3206,107.0881,2.36,98,100,4.44,RU,1712545993
430,mata-utu,-13.2816,-176.1745,29.69,73,87,2.85,WF,1712545770
431,akureyri,65.6835,-18.0878,-2.12,97,100,3.9,IS,1712545945
432,aykhal,66.0,111.5,-10.32,61,4,1.57,RU,1712545994
433,port alfred,-33.5906,26.891,17.32,91,100,1.34,ZA,1712545724
434,touggourt,33.1053,6.058,23.11,14,100,3.94,DZ,1712545995
435,krasnyy chikoy,50.3643,108.7512,9.5,49,29,2.16,RU,1712545995
436,kenai,60.5544,-151.2583,4.05,54,0,4.12,US,1712545750
437,howard springs,-12.497,131.047,32.68,59,68,3.3,AU,1712545997
438,mbuji-mayi,-6.15,23.6,21.17,96,89,0.36,CD,1712545997
439,cambridge,43.3601,-80.3127,9.05,62,75,2.57,CA,1712545372
440,nizhnevartovsk,60.9344,76.5531,-3.99,50,0,7.0,RU,1712545998
441,fort bragg,35.139,-79.006,12.33,67,0,0.0,US,1712545998
442,glace bay,46.1969,-59.957,2.25,85,100,4.02,CA,1712545999
443,auki,-8.7676,160.7034,28.84,78,95,2.61,SB,1712545999
444,ruidoso,33.3317,-105.673,8.31,15,0,3.6,US,1712545871
445,port saint john's,-31.6229,29.5448,20.78,79,100,6.98,ZA,1712546000
446,sidhi,24.4167,81.8833,30.29,29,5,3.96,IN,1712546000
447,rondonopolis,-16.4708,-54.6356,23.88,91,77,1.11,BR,1712545992
448,leitchfield,37.48,-86.2939,18.14,87,98,5.99,US,1712546001
449,ketchikan,55.3422,-131.6461,5.26,87,100,4.63,US,1712545813
450,thai nguyen,21.5928,105.8442,21.88,91,100,1.88,VN,1712546003
451,ierapetra,35.01,25.7353,18.41,56,4,6.71,GR,1712546003
452,son tay,21.1378,105.505,21.96,90,100,3.75,VN,1712546003
453,autun,46.95,4.3,10.41,100,55,0.97,FR,1712546004
454,kruisfontein,-34.0033,24.7314,16.66,91,100,1.15,ZA,1712546005
455,kartuzy,54.3342,18.1974,12.1,79,0,1.03,PL,1712546005
456,labrador city,52.9463,-66.9114,-3.08,95,100,1.3,CA,1712545878
457,fale old settlement,-9.3852,-171.2468,29.99,70,5,2.66,TK,1712546006
458,buka,40.8108,69.1986,15.82,48,74,0.91,UZ,1712546006
459,colonia,50.9333,6.95,14.05,86,89,1.54,DE,1712545911
460,la gi,10.6667,107.7833,31.87,54,28,5.68,VN,1712546007
461,horta,38.5333,-28.6333,13.9,89,95,2.24,PT,1712546008
462,freeport,40.6576,-73.5832,8.87,85,0,2.06,US,1712546008
463,lucapa,-8.4192,20.7447,18.58,98,98,0.86,AO,1712546009
464,caleta de carquin,-11.0925,-77.6267,22.26,83,100,3.48,PE,1712546009
465,yarmouth,41.7057,-70.2286,4.98,86,0,3.13,US,1712546010
466,san borja,-14.8167,-66.85,24.11,97,99,0.99,BO,1712546010
467,hengchun,22.0042,120.7439,27.93,67,6,5.71,TW,1712546010
468,pointe aux piments,-20.0628,57.5131,25.85,89,1,2.39,MU,1712546011
469,ploneour-lanvern,47.9,-4.2833,11.18,93,100,4.63,FR,1712546012
470,katsuura,35.1333,140.3,18.03,90,100,4.66,JP,1712546012
471,kattivakkam,13.2167,80.3167,30.07,63,15,6.04,IN,1712546013
472,birao,10.2849,22.7882,24.62,59,69,1.72,CF,1712546013
473,tindouf,27.6711,-8.1474,14.49,79,0,8.04,DZ,1712546014
474,ain taya,36.7933,3.2869,27.91,18,0,6.17,DZ,1712546014
475,lincheng,19.9078,109.6858,28.43,73,28,3.46,CN,1712546014
476,xinyu,27.8043,114.9334,16.08,89,99,2.76,CN,1712546015
477,puerto deseado,-47.7503,-65.8938,11.23,42,3,4.38,AR,1712546015
478,bandar labuan,5.2888,115.2692,27.72,77,83,0.42,MY,1712545776
479,nantucket,41.2835,-70.0995,2.86,83,0,3.09,US,1712545944
480,sao miguel do araguaia,-13.275,-50.1628,23.61,91,95,1.94,BR,1712546017
481,jiayuguan,39.8167,98.3,11.0,23,1,2.22,CN,1712546017
482,gangtok,27.3333,88.6167,24.29,25,0,1.52,IN,1712546017
483,igarka,67.4667,86.5833,-5.55,83,100,7.15,RU,1712546018
484,nema,57.5067,50.5011,-1.47,92,90,2.33,RU,1712546018
485,tazacorte,28.629,-17.9293,17.54,59,0,3.09,ES,1712545951
486,ghat,24.9647,10.1728,22.21,17,0,2.17,LY,1712545919
487,san luis de la loma,17.2706,-100.8939,24.89,75,2,3.92,MX,1712546019
488,ribadesella,43.4614,-5.0596,12.75,68,95,3.4,ES,1712546020
489,tsiombe,-25.3,45.4833,21.5,87,100,6.11,MG,1712545756
490,samarkand,39.6542,66.9597,15.68,44,64,5.14,UZ,1712546021
491,ciudad lazaro cardenas,17.9583,-102.2,23.29,79,18,2.95,MX,1712546021
492,khair,27.95,77.8333,30.17,10,0,1.11,IN,1712546021
493,mont-joli,48.5839,-68.1921,1.02,83,64,2.71,CA,1712545881
494,aripuana,-9.1667,-60.6333,23.08,99,62,0.28,BR,1712545739
495,tosontsengel,48.7567,98.2839,5.76,55,45,1.73,MN,1712546023
496,umea,63.8284,20.2597,0.51,93,0,1.54,SE,1712546023
497,agat village,13.3886,144.6585,31.09,70,23,2.68,GU,1712546023
498,obock,12.25,43.0833,22.34,81,70,6.31,DJ,1712546024
499,ivanteyevka,55.9711,37.9208,9.55,92,100,2.24,RU,1712546024
500,garachico,28.7781,-17.7646,16.06,59,0,3.09,ES,1712546025
501,mandapeta,16.8667,81.9333,31.19,56,5,5.44,IN,1712546025
502,colon,9.3592,-79.9014,26.06,85,100,2.24,PA,1712546026
503,zhongshu,24.5167,103.7667,22.38,44,71,2.43,CN,1712546026
504,quelimane,-17.8786,36.8883,22.54,96,35,1.73,MZ,1712546027
505,kamina,-8.7386,24.9906,18.21,97,100,1.39,CD,1712546028
506,sabang,5.8933,95.3214,28.96,70,22,4.82,ID,1712546028
507,kotel'nich,58.3089,48.348,0.37,87,100,3.38,RU,1712546029
508,axim,4.8699,-2.2405,27.54,86,56,3.05,GH,1712546029
509,alesund,62.4723,6.1549,9.08,66,17,4.63,NO,1712546030
510,ust-tsilma,65.441,52.1498,-11.33,97,99,0.89,RU,1712546030
511,al muwayh,22.4333,41.7583,22.72,57,99,0.56,SA,1712546030
512,choyr,46.3611,108.3611,9.38,45,23,3.6,MN,1712546031
